"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Quantidade_Acionistas_PF","Quantidade_Acionistas_PJ","Quantidade_Acionistas_Investidores_Institucionais","Quantidade_Acoes_Ordinarias_Circulacao","Percentual_Acoes_Ordinarias_Circulacao","Quantidade_Acoes_Preferenciais_Circulacao","Percentual_Acoes_Preferenciais_Circulacao","Quantidade_Total_Acoes_Circulacao","Percentual_Total_Acoes_Circulacao","Data_Ultima_Assembleia"
"04.233.319/0001-18","2021-01-01",2,107446,0,3,0,0,0,0,0,0,0,"2021-04-26"
"04.370.282/0001-70","2021-01-01",4,110899,0,1,0,0,0,0,0,0,0,"2020-04-30"
"04.423.567/0001-21","2021-01-01",1,105475,47067,1142,0,1261568398,99.7087,0,0,1261568398,99.7087,"2021-04-30"
"04.437.534/0001-30","2021-01-01",1,105546,0,1,0,0,0,0,0,0,0,"2021-04-29"
"04.739.720/0001-24","2021-01-01",1,105240,0,2,0,0,0,0,0,0,0,"2021-04-01"
"04.752.991/0001-10","2021-01-01",8,110567,2257,97,0,23890201,35.2487,0,0,23890201,35.2487,"2021-06-29"
"04.821.041/0001-08","2021-01-01",5,110495,424,15,1,1895139,46.15,0,0,1895139,46.15,"2021-05-19"
"04.895.728/0001-80","2021-01-01",2,108631,1734,554,17,73343731,3.32,3991521,89.63,77335252,3.5,"2019-04-29"
"04.902.979/0001-44","2021-01-01",1,105353,12024,57,3,1247331,4.2,0,0,1247331,4.2,"2020-12-31"
"04.912.242/0001-02","2021-01-01",1,104814,218,1,0,24353,81.4808,5535,15.5192,29888,100,"2001-04-30"
"04.913.711/0001-08","2021-01-01",5,109105,210,117,2,2036,0.02138,0,0,2036,0.02138,"2021-04-14"
"04.972.092/0001-22","2021-01-01",5,110730,4,0,1,0,0,0,0,0,0,"2021-04-26"
"04.986.320/0001-13","2021-01-01",3,108816,19393,227,133,54338507,42.21,0,0,54338507,42.21,"2021-04-30"
"04.992.714/0001-84","2021-01-01",4,108435,0,3,0,0,0,0,0,0,0,"2021-04-22"
"05.197.443/0001-38","2021-01-01",10,110304,35931,205,1606,1306955040,33.584263,0,0,1306955040,33.584263,"2021-04-30"
"05.303.439/0001-07","2021-01-01",3,109741,1,1,0,0,0,0,0,0,0,"2021-10-18"
"05.336.882/0001-84","2021-01-01",2,109027,0,1,0,76281111,100,0,0,76281111,100,"2011-08-18"
"05.347.060/0001-07","2021-01-01",2,110411,0,1,1,0,0,0,0,0,0,"2021-09-16"
"05.721.735/0001-28","2021-01-01",10,106624,801,5,86,31415960,43.12,0,0,31415960,43.12,"2021-04-22"
"05.730.375/0001-20","2021-01-01",4,108514,0,1,0,0,0,0,0,0,0,"2021-09-01"
"05.799.312/0001-20","2021-01-01",6,109045,0,1,1,0,0,0,0,0,0,"2021-08-01"
"05.878.397/0001-32","2021-01-01",6,110425,38078,134,803,126260263,47.506845,0,0,126260263,47.506845,"2021-04-28"
"05.889.284/0001-32","2021-01-01",1,104949,3,2,0,0,0,0,0,0,0,"2021-04-30"
"05.917.486/0001-40","2021-01-01",9,108432,2,0,1,19537200,30.3707,0,0,19537200,30.3707,"2021-07-12"
"06.016.348/0001-53","2021-01-01",1,105221,0,3,0,0,0,0,0,0,0,"2019-09-04"
